235->,1,0.5,0.5,0.5,1,0.5,0.5,1,1,0.5,0.5,0.5,1,0.25,0.5,1,0.174,0.099,0.14,0.157,0,0,0.149,0.14,0.124,0.017,0,0.591,0.409
236->,0.5,0.5,0.25,0.5,0.5,1,0.125,0.5,0.5,0.5,0.25,0.5,0.5,1,0.25,1,0.008,0.058,0.083,0.256,0,0,0.083,0.116,0.388,0.008,0,0.591,0.409
267->,0.5,0.125,0.5,0.5,0.5,0.25,1,0.5,0.5,0.125,0.5,0.25,0.25,0.25,1,0.125,0.504,0.083,0.058,0.099,0.033,0,0.14,0.025,0.058,0,0,0.591,0.409
268->,0.5,0.5,0.5,1,1,0.5,0.5,1,0.5,0.25,0.5,1,1,0.125,1,1,0.438,0.083,0.058,0.107,0.05,0,0.05,0.05,0.149,0.017,0,0.591,0.409
301->,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.091,0.083,0.025,0.24,0.025,0,0.116,0.083,0.273,0.066,0,0.591,0.409
333->,1,0.125,1,0.125,1,0,1,0.125,1,0.125,1,0.125,1,0,1,0,0.289,0.14,0.033,0.033,0.033,0,0.438,0.033,0,0,0,0.591,0.318
354->,0.25,0.5,1,0.125,0.25,0.25,1,0.25,0.25,0.25,1,0.25,0.25,0.25,1,0.5,0.207,0.066,0.025,0.099,0,0,0.124,0.091,0.347,0.033,0.008,0.682,0.409
355->,1,0.125,1,0.5,1,0.25,1,1,1,0.25,1,0.5,1,0.5,1,0.5,0.008,0.041,0.033,0.223,0.017,0,0.124,0.149,0.314,0.091,0,0.682,0.409
385->,0.125,0.125,0.5,0.5,0.25,0.25,0.25,0.5,0.125,0.25,0.25,0.5,0.25,0.25,0.25,1,0.322,0.314,0.05,0.132,0.008,0,0.124,0.041,0.008,0,0,0.682,0.409
386->,0.5,0.5,0.125,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,1,0.25,1,0.5,0.5,0.017,0.041,0.074,0.479,0.025,0,0.025,0.058,0.248,0.033,0,0.682,0.409
387->,0.125,0.5,0.5,1,0.25,0.5,1,1,0.25,1,0.5,1,0.5,0.5,0.5,1,0.041,0.116,0.149,0.306,0.008,0,0.066,0.124,0.19,0,0,0.591,0.409
418->,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,1,0.5,1,0.25,0.5,0.5,0.033,0.058,0.107,0.306,0.008,0,0.083,0.149,0.248,0.008,0,0.591,0.409
422->,0.5,0.25,0.25,1,0.5,0.25,0.25,0.5,0.5,0.5,0.25,1,0.5,0.5,0.25,0.5,0,0.008,0.025,0.041,0,0,0.008,0.339,0.579,0,0,0.318,0.318
423->,0.25,1,0.25,0.5,0.25,0.5,0.5,0.25,0.25,1,0.5,0.5,0.25,0.5,0.5,0.25,0.025,0.041,0.074,0.157,0.041,0,0.074,0.207,0.364,0.017,0,0.682,0.318
424->,0.25,0.5,0.125,0.125,0.5,0.25,0.125,0.125,0.5,0.5,0.125,0.25,0.5,0.25,0.125,0.25,0.066,0.074,0.05,0.041,0,0,0.124,0.091,0.488,0.066,0,0.682,0.227
452->,0.5,1,0.5,0.5,1,1,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.207,0.099,0.074,0.231,0.008,0,0.05,0.149,0.182,0,0,0.682,0.318
454->,0.25,0.125,1,0.5,0.25,0.25,0.5,0.25,0.5,0.25,1,0.5,0.5,0.25,0.5,0.5,0.066,0.074,0.066,0.223,0,0,0.124,0.091,0.347,0.008,0,0.773,0.227
455->,1,0.5,0.5,1,0.5,0.25,0.25,0.5,1,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.025,0.074,0.066,0.322,0.017,0.008,0.074,0.099,0.289,0.017,0.008,0.045,0.045
456->,0.5,1,0.125,1,0.25,0.5,0.125,0.25,0.5,0.5,0.25,1,0.25,0.25,0.25,0.5,0.025,0.033,0.107,0.198,0,0,0.124,0.157,0.322,0.033,0,0.682,0.227
484->,1,0.5,0.5,0.25,1,0.25,1,0.125,0.5,0.5,1,0.125,0.5,0.5,0.5,0.125,0.033,0.058,0.14,0.38,0.008,0,0.074,0.182,0.124,0,0,0.773,0.227
485->,0.5,0.25,0.125,0.125,1,0.125,0.25,0.125,1,0.125,0.25,0.125,0.5,0.125,0.25,0.125,0.066,0.107,0.124,0.264,0,0,0.074,0.017,0.347,0,0,0.045,0.227
486->,0.125,0.125,0.5,0.5,0.25,0.125,0.25,0.25,0.25,0.125,0.5,0.5,0.25,0.125,0.5,0.5,0.05,0.05,0.074,0.025,0,0,0.14,0.281,0.355,0.025,0,0.682,0.136
487->,0.5,0.5,1,0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.074,0.099,0.149,0.157,0,0,0.116,0.198,0.207,0,0,0.682,0.227
488->,1,0.5,1,1,0.5,0.5,0.25,1,0.5,0.5,1,1,0.25,0.5,0.5,1,0.289,0.066,0.066,0.157,0.008,0,0.132,0.107,0.149,0.025,0,0.682,0.227
515->,0.5,0.25,0.5,1,0.5,0.25,0.25,1,0.5,0.25,0.5,1,0.5,0.25,0.5,1,0.198,0.041,0.132,0.273,0.008,0,0.107,0.066,0.116,0.058,0,0.864,0.136
516->,0.5,1,0.25,0.125,0.25,1,0.125,1,0.5,1,0.125,1,0.5,1,0.125,1,0,0.05,0.05,0.306,0.107,0.05,0.083,0.14,0.207,0.008,0,0.864,0.136
517->,0.25,0.125,0.125,1,0.125,1,0.125,1,0.125,1,0.125,1,0.125,1,0.125,1,0.041,0.058,0.066,0.215,0.157,0.025,0.05,0.107,0.207,0.05,0.025,0.773,0.136
518->,0.125,1,0.5,0.5,0.125,1,0.25,0.5,0.125,1,0.5,1,0.125,1,0.5,1,0.008,0.05,0.058,0.19,0.14,0.107,0.033,0.074,0.14,0.124,0.074,0.773,0.136
519->,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.25,0.5,1,0.5,0.5,0.5,1,0.5,0.125,0.05,0.149,0.099,0.19,0.041,0,0.091,0.05,0.331,0,0,0.773,0.136
778->,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,1,0.058,0.182,0.107,0.132,0,0,0.24,0.132,0.132,0.017,0,0.591,0.409
779->,0.5,0.5,0.25,0.5,0.5,0.5,0.25,1,0.5,0.5,0.25,0.5,0.5,1,0.125,0.5,0.008,0.083,0.132,0.223,0,0,0.074,0.149,0.331,0,0,0.591,0.409
810->,0.5,0.25,0.5,0.5,0.5,0.25,0.5,1,0.5,0.125,0.5,0.5,0.5,0.25,1,0.5,0.264,0.157,0.05,0.107,0.041,0,0.24,0.033,0.107,0,0,0.591,0.409
844->,1,1,0.25,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0.331,0.058,0.05,0.14,0.05,0,0.041,0.017,0.24,0.074,0,0.591,0.409
876->,1,0.125,1,0.125,1,0.125,1,0.125,1,0.125,1,0.125,1,0,1,0.125,0.331,0.19,0.033,0.099,0.058,0,0.19,0.074,0.025,0,0,0.591,0.409
877->,1,0.125,0.5,0.5,1,0.125,0.5,0.5,1,0.125,0.5,1,1,0.125,1,1,0.364,0.223,0.008,0.116,0.074,0,0.099,0.107,0.008,0,0,0.409,0.409
897->,0.25,0.5,1,0.25,0.25,0.25,1,0.5,0.25,0.5,1,0.125,0.25,0.25,1,0.25,0.008,0.099,0.074,0.083,0,0,0.124,0.182,0.372,0.058,0,0.682,0.409
898->,1,0.25,1,0.5,1,0.5,1,0.5,1,0.125,1,0.5,1,0.25,1,1,0.05,0.066,0.066,0.14,0.017,0,0.107,0.14,0.322,0.091,0,0.682,0.409
928->,0.125,0.125,0.5,0.25,0.25,0.25,0.25,0.25,0.125,0.125,0.5,0.5,0.25,0.25,0.25,0.5,0.083,0.083,0.05,0.256,0.025,0,0.19,0.207,0.107,0,0,0.682,0.409
929->,0.5,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.5,0.5,0.125,0.5,0.25,0.5,0.25,0.5,0,0.017,0.091,0.537,0,0,0.05,0.05,0.231,0.025,0,0.682,0.409
930->,0.25,0.25,0.5,1,0.5,0.25,0.5,1,0.125,0.5,0.5,1,0.25,0.5,1,1,0.025,0.033,0.083,0.331,0,0,0.124,0.132,0.273,0,0,0.682,0.409
960->,0.125,0.125,0.25,0.25,0.25,0.125,0.25,0.5,0.125,0.125,0.5,0.25,0.25,0.125,0.5,0.5,0.099,0.149,0.124,0.19,0.008,0,0.248,0.099,0.083,0,0,0.682,0.409
961->,0.25,0.25,0.25,0.5,0.25,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.033,0.074,0.099,0.256,0.025,0,0.099,0.124,0.289,0,0,0.682,0.318
965->,0.5,0.25,0.125,0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.25,1,0.5,0.25,0.25,0.5,0.017,0.025,0.008,0.008,0,0,0.033,0.372,0.537,0,0,0.682,0.227
966->,0.125,0.5,0.125,0.5,0.25,0.5,0.125,0.25,0.25,1,0.25,0.5,0.25,0.5,0.5,0.25,0.05,0.05,0.066,0.182,0,0,0.066,0.231,0.331,0.025,0,0.682,0.318
967->,0.125,0.5,0.125,0.125,0.125,0.25,0.125,0.125,0.25,0.5,0.125,0.125,0.5,0.25,0.125,0.125,0.14,0.14,0,0.017,0,0,0.256,0.132,0.264,0.05,0,0.682,0.227
995->,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.25,0.5,1,0.5,0.5,1,1,0.5,1,0.074,0.074,0.107,0.231,0,0,0.157,0.182,0.174,0,0,0.591,0.409
996->,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.5,0.5,0.25,0.125,0.5,1,0.25,0.25,0.132,0.058,0.033,0.025,0,0,0.19,0.099,0.463,0,0,0.591,0.227
